Tallinna Stroomi Keskus,Tallinn,Tuulemaa 20,10315,Maxima kassade vastas loomapoe kõrval,59.4472692,24.6926484
Pärnu Mai Selver,Pärnu,Papiniidu 42,80042,1. korrusel apteegi vastas,58.3688,24.5457
Rapla Selver,Rapla,Tallinna maantee 4,79513,Expert tehnikapoe ees,59.0085213,24.7942433
Viljandi Turu Konsum,Viljandi,Turu 16,71003,1. korrusel kassade vastas,58.3665,25.5929
Viimsi Keskus (Selver),Viimsi,Sõpruse tee 15,74001,Jazz pesula poolse sissepääsu kõrval,59.5048,24.82766
Tallinna Priisle Maxima XXX,Tallinn,Linnamäe tee 57,13911,Vasakpoolse sissepääsu kõrval,59.4499662,24.8799884
Tallinna Vilde tee Maxima XX,Tallinn,Vilde tee 77,12912,1. korrusel peasissepääsust paremal koridori lõpus,59.4025214,24.6856175
Tallinna Mustamäe Keskus,Tallinn,A. H. Tammsaare tee 104a,12918,1. korrusel kauplus MARILYN kõrval,59.4084844,24.6902775
Tartu Veeriku Selver,Tartu,Vitamiini 1,51014,Hesburgeri vastas boksis,58.3763183,26.6966521
Ahtme Maxima,Kohtla-Järve,Puru tee 77,31023,1. korrusel apteegi vastas,59.3379116,27.4202924
Tallinna Kärberi Selver,Tallinn,K. Kärberi 20/20a,13812,Sun Grill söögikoha vastas,59.4453939,24.8829749
Tallinna Stockmann,Tallinn,Liivalaia 53,10145,5. korrusel Euroapteegi kõrval,59.4323826,24.7615277
Tartu Kaubamaja   -1 korrus,Tartu,Riia 1,51004,-1. korruse liftitamburis,58.377769,26.7278297
Jõgeva Pae Konsum,Jõgeva,Aia 33,48304,1. korrusel Apteegi vastas,58.7431561,26.3752539
Laagri Selver,Tallinn,Pärnu mnt. 554,10916,Pizzapoiste vastas,59.3530381,24.6283013
Tallinna Tähesaju Selver,Tallinn,Tähesaju tee 1,13917,juuksurisalong Väike Dublin juures,59.4417,24.8493754
Kuusalu Grossi kpl,Kuusalu,Mäe 1,74619,kassade kõrval,59.446728,25.4442171
Tallinna Marja Grossi kpl,Tallinn,Mustamäe tee 41,10616,Sissepääsu kõrval,59.4220076,24.6997633
