Kooli 14a,Püssi,43222,Ida-Virumaa,Püssi Kauplus,59.3598772,27.0368445
Tallinna mnt 19/3,Raasiku,75203,Harjumaa,Raasiku Konsum,59.3696264,25.1830216
E. Vilde tee 8,Rakvere,44310,Lääne-Virumaa,Rakvere kesklinna Rimi,59.25,26.33333
Haljala tee 4,Rakvere,44415,Lääne-Virumaa,Rakvere Põhjakeskus,59.3640156,26.3405363
Tallinna maantee 4,Rapla,79511,Raplamaa,Rapla Selver,59.0107989,24.7932741
Valga mnt 4,Rõngu,61001,Tartumaa,Rõngu Pagar,58.1421515,26.2476908
Pargi 1,Räpina,64504,Põlvamaa,Räpina Maxima X,58.0974027,27.4634663
Metsa 2,Riisipere,76202,Harjumaa,Riisipere Meie kauplus,59.10432,24.3128301
Üksnurme tee 2,Saku,75501,Harjumaa,Saku Selver,59.2931975,24.6574137
Ladva 1a,Saue,76506,Harjumaa,Saue Maxima X,59.3241353,24.5479364
Kuldnoka 1,Sauga,85008,Pärnumaa,Sauga Konsum,58.4288294,24.4977568
Pavlovi 1,Sillamäe,40232,Ida-Virumaa,Sillamäe Maxima XX,59.3909122,27.7744348
Jaama 8,Sindi,86705,Pärnumaa,Sindi Konsum,58.404837,24.651705
Pärnu 3,Suure-Jaani,71502,Viljandimaa,Suure-Jaani Konsum,58.5363442,25.4653542
Koidu 16,Tamsalu,46107,Lääne-Virumaa,Tamsalu Maxima X,59.164612,26.1125805
Klooga maantee 10b,Tabasalu,76901,Harjumaa,Tabasalu Rimi,59.4299064,24.5436286
Akadeemia tee 35,Tallinn,12618,Harjumaa,Tallinna Akadeemia Konsum,59.4028379,24.6560974
Erika 14,Tallinn,10416,Harjumaa,Tallinna Arsenali keskus,59.4519319,24.7176649
Toompuiestee 37,Tallinn,10133,Harjumaa,Tallinna Balti jaam,59.4405073,24.738396
Haabersti 1,Tallinn,13516,Harjumaa,Tallinna Haabersti Rimi,59.4313282,24.6290422
Pärnu mnt 386,Tallinn,11612,Harjumaa,Tallinna Hiiu Rimi,59.3825646,24.6637286
Punane 16b,Tallinn,13619,Harjumaa,Tallinna Idakeskus,59.4317383,24.8234709
Vabaduse pst 128,Tallinn,10918,Harjumaa,Tallinna Jannseni Maxima,59.3732477,24.6650412
Pärnu mnt 238,Tallinn,11624,Harjumaa,Tallinna Järve keskus,59.393409,24.7192687
E. Vilde tee 124,Tallinn,12914,Harjumaa,Tallinna Kaja Maxima X,59.4031546,24.6693498
Kadaka tee 56a,Tallinn,12915,Harjumaa,Tallinna Kadaka Selver,59.4124701,24.6667414
Kalevipoja põik 12,Tallinn,13625,Harjumaa,Tallinna Kalevipoja Rimi,59.4380305,24.8295982
Rannamõisa tee 6,Tallinn,13516,Harjumaa,Tallinna Kakumäe Selver,59.4282253,24.6269175
Tartu mnt 49,Tallinn,10115,Harjumaa,Tallinna Keskturu Maxima X,59.4284431,24.7761574
Kotka 12,Tallinn,11315,Harjumaa,Tallinna Kotka Selver,59.4203775,24.7292365
Sõle 31,Tallinn,10321,Harjumaa,Tallinna Kolde Selver,59.4406989,24.7066109
Endla 45,Tallinn,10615,Harjumaa,Tallinna Kristiine keskus,59.4269537,24.7214613
Kärberi 20,Tallinn,13812,Harjumaa,Tallinna Kärberi keskus,59.4449806,24.883154
Mustakivi tee 13,Tallinn,13912,Harjumaa,Tallinna Lasnamäe Centrum,59.4405796,24.8627538
Mustakivi tee 17,Tallinn,13912,Harjumaa,Tallinna Lasnamäe Prisma,59.4463893,24.8637122
Linnamäe tee 57,Tallinn,13911,Harjumaa,Tallinna Linnamäe Maxima XXX,59.450159,24.8811793
Läänemere tee 28,Tallinn,13913,Harjumaa,Tallinna Läänemere Selver,59.4528542,24.8745859
Pärnu mnt 106,Tallinn,11312,Harjumaa,Tallinna Magdaleena,59.4161145,24.7399346
